title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,synopsis
9296,A Kind Intruder,ROMANCE,"EENY,Yuhan",MONDAY,6,108047,0.0,772006,32371,ONGOING,"After Ihan Jeong’s mother and brother died in a car crash when she was just 9 years old, she was raised by Chio Han and his parents, who lived next door. Now about to attend university, Ihan suddenly finds herself living with Chio under one roof, and she realizes that she feels more than just familial affection for her brother figure. While trying to deal with her trauma and the awkwardness of freshman life, Ihan meets Yujin Seo, a champion judoka at their university who is the spitting image of her late brother. And now he's moving in next door?!"
9289,Shadow Princess,ROMANCE,"taijyeong,furik,Jkyum",MONDAY,5,24579,0.0,123008,7520,ONGOING,"After the fall of the Kingdom of Jarthewer, Princess Lisselotte and her maid, Hannah, escape to the Grand Duchy of Ralus, home of the princess’s fiancé, Vincent Ralus. Though Hannah has lost her memory after nearly drowning, she stays strong, enduring Lady Charlotte’s daily abuse in hopes of a better future. 
But everything changes when Vincent asks her to pose as Princess Lisselotte for the 10th-anniversary ceremony of the Jarthewer Republic. Returning means certain death both for her and the princess, but if they can pull off the deception, it may be their only chance at freedom. Stuck between the handsome but cold Vincent and his mischievous and buff guard, Diego, can Hannah succeed in her dangerous role?
"
9288,Prison Guard Zero,ACTION,"rok,moveingjun",TUESDAY,6,25740,0.0,134306,7815,ONGOING,"Jihun, once part of an elite secret special forces unit, returns from overseas duty to the devastating news of his sister Jiyun’s death. Her boyfriend Minjun is blamed, but Jihun soon learns Minjun entered Yeokseon Prison under a false charge to uncover the real killer. When Minjun is found dead inside the prison, Jihun refuses to accept the official story. Taking on the role of a correctional officer, he infiltrates the prison to expose the truth behind both murders—and the hidden forces controlling the facility."
9286,How is This Hot Duke Just a Background Character?!,ROMANCE,"Mikazuki Miya,Hayashi Banri,BAON,BLST",MONDAY,7,88618,0.0,717049,57046,ONGOING,"After reincarnating as Leticia, a minor extra in an otome game, the “new” Leticia unexpectedly inherits her twin sister’s engagement to Lionel, a rumored chubby and awkward duke-to-be. But Leticia sees the potential beneath his rough edges and takes it upon herself to help him grow. As Lionel transforms into a refined and handsome noble, his feelings for her deepen rapidly. Though she only wanted a peaceful life as an extra, Leticia suddenly finds herself at the center of an intense, ever-growing devotion from her now-irresistible fiancé."
9266,Some Day You Will Give Birth To Me,ROMANCE,"RUCKKY,OPENBUS STUDIO",MONDAY,4,36798,0.0,929149,56124,COMPLETED,"Born to a sorceress and a prince of the Holy Empire, Evanna is forced to ascend the throne in a world that shuns magic. Though she works hard to pray her powers away, Evanna is despised by all. Her only hope through abuse and isolation comes with the discovery of her mother’s grimoire. The magic within sends Evanna back in time, to before her parents met. Her goal: to guide them to a better future than the one she came from! But can she really do that… as a toddler?"
9265,Chronicles of the Lazy Sovereign,ACTION,"kim ggulbal,Biga,REDHOOK",MONDAY,5,24757,0.0,120523,8884,ONGOING,"The path to greatness begins… tomorrow!
It’s always a day too early for a great procrastinator like Yeonho Wi to start training. So how did someone as lazy as him become a great warrior renowned for his virtue, benevolence, and might? Follow the historian’s journey to uncover the hidden secrets of the lazy master of martial arts.
"
9264,Maria The Telepathic Animal Healer,ROMANCE,"SOY MEDIA,BANABAS","MONDAY,WEDNESDAY,FRIDAY",4,39836,0.0,977566,50918,COMPLETED,"Maria Lwelin reawakens in the Larson Empire with the power to communicate with animals. Upon learning that the crown prince is willing to grant one wish to the vet who can heal his pet panther, she jumps at the chance for an exciting new adventure!"
9263,The Genius Midfielder with the Killer Pass,SPORTS,"ZIZONSEHO,choigom,Opus S",THURSDAY,5,16375,0.0,106109,4974,ONGOING,"17-year-old Yujun Song lives for soccer. However, when he suddenly becomes color-blind, he has no choice but to walk away from his dream. 15 years later, after a car crash, Yujin finds himself on the brink of death and makes one last wish: to step onto the soccer field one more time. In the next moment, he appears to have been given this chance as he finds himself back in his 17-year-old body. On the pitch, strange bands of colorful light dance around him. With the colors as his guide, can Yujun become the midfielder he always dreamed of?"
9262,Return of the Demonic Instructor,ACTION,"MIDNIGHT STUDIO,FISH,nunmae",WEDNESDAY,5,20888,0.0,109504,6853,ONGOING,"The world is destroyed by a demon invasion and Bigang Sa is forced to serve in the demon army for centuries. After a failed human uprising, Bigang transports himself back into his body, ten years before the arrival of the demons. Can he use his centuries of demon warrior training to create a new class of murim fighters powerful enough to ward off the coming invasion?"
9261,Finding a Ticket Into Your Heart,ROMANCE,cha.e,SUNDAY,6,29139,0.0,191440,8212,ONGOING,"After a brutal breakup, Yubyeol flies to Spain alone where one wild, blurry night with a stranger named Seonu changes everything. Back in Korea, fate brings them together again… but this time, they only have 90 days before Seonu must return to Spain. Between unresolved heartbreak, unexpected chemistry, and a deadline she never asked for, can Seonu find his ticket into Yubyeol’s heart before the final boarding call?"
9250,Star Wars™: Lost Stars,GRAPHIC_NOVEL,"Lucasfilm Ltd., Claudia Gray, Yusaku Komiyama",SATURDAY,5,12288,0.0,35449,2885,ONGOING,"Seduced by the Galactic Empire's promises of unity and change, the planets of the galaxy and the hearts of their people fall under the Emperor's control one by one... 

Sharing a love of ships and an admiration for the Empire, childhood friends Thane Kyrell and Ciene Ree enroll in the Imperial Academy in hopes of realizing their dreams of joining the fleet. The more they learn, however, the more their loyalties -- to the Empire and to each other -- are put to the test. 

Will Thane and Ciena's friendship -- or even they themselves -- survive the trials ahead?"
9248,Azarinth Healer,ACTION,"Rhaegar,Yemima CV",TUESDAY,7,32073,0.0,168378,14672,ONGOING,"Ilea Spears wanted a fight, not a life behind a desk. So when this boxer-turned-med student wakes up in Elos -- a dangerous fantasy world where combat is a daily requirement -- she’s more than a little thrilled. 

There, she unlocks the long-lost Battle Healer class, an unusual blend of combat strength and healing magic, and discovers she may have finally found her calling. 

As she travels across the realms, leveling up faster than anyone expects, she begins to earn a reputation as something of a legend: the healer who isn’t afraid to punch back."
9245,Ungracefully Grace,ROMANCE,"BaekSeoha,IIAKI,potato","TUESDAY,THURSDAY,SUNDAY",3,39473,0.0,236844,17631,ONGOING,"With her family, staff, and title being threatened after her year-long exile, Grace must now use her wits and strength to protect herself against her two-faced stepmother, half-sister, and father who have turned against her."
9244,Vincent the Great,SUPERNATURAL,"pilwon,houjae",WEDNESDAY,5,15626,0.0,66821,5172,ONGOING,"The demons took his farmhouse, his wife, his peace. Now Vincent Burns lives to kill as many as he can. The excommunicated exorcist, along with Sister Beatrice and local sheriff Chloe, has found himself in the middle of a demonic plot to bring Hell itself to the United States, yet the biggest puzzle is the white-haired girl he found in a suitcase. Demons not only die upon biting her; flowers bloom from her wounds. Vincent and Beatrice must keep her safe until they know her purpose, while Chloe must keep her sanity against the demon horde."
9231,The Swindler Couple of Ardel,ROMANCE,"Yu Jeok,gimgwaja,Eclair",SUNDAY,7,35991,0.0,225399,15862,ONGOING,"The legendary con artist in the pleasure city of Ardel, Sue Rolanne, is hired by an aloof duke to pull off the ultimate grift: deceive the king. To infiltrate high society, the pair stage a sham marriage and what began as a “contract couple” turns into a high-stakes, kingdom-wide con."
9230,The Handmaiden Dreams at Sunset,ROMANCE,"Haeree,Narang,Jinkyo","TUESDAY,THURSDAY,SUNDAY",2,25122,0.0,104564,4826,ONGOING,"From her first day as a maid in the Yufgenschult Estate, Dahlia Belohr is repeatedly warned to not go near the annex where a ""ghost"" is rumored to live. However, one day, she is forced to go to the annex to deliver a parcel and sees the famed ghost herself. Contrary to the rumors, the ghost is neither hideous nor violent but is handsome and kind enough to gift her books. Interestingly, it seems like the famed ghost has taken a liking to Dahlia too, because the next day, she is told that she has been assigned to the annex."
9229,Distress,ROMANCE,Toth-M,FRIDAY,3,10047,0.0,36683,4580,ONGOING,"Lenny, a young French student, arrives in Montreal to pursue his journalism studies. As part of a class assignment, he meets Anoki, a quiet Algonquin student, and the two are paired up as a team. Their investigation soon draws them into a mysterious monster hunt. Caught between myths and legends and possible deception, the two boys challenge each other’s beliefs and gradually form a deep bond. But what will happen when they are forced to share their secret?"
9228,Red Hot Revenge,ROMANCE,"SOY MEDIA,Son Sehui",WEDNESDAY,24,41413,0.0,607818,40584,ONGOING,"A good girl. An obedient daughter. A submissive wife.
Scarlett spent her entire life being the prized doll on the shelf; first for her father, and now for a cruel duke who is to be her husband. Tired of the belittling and manipulation, Scarlett finally decides to take matters into her own hands and fight for a life of freedom. And that's the thing about girls who've been forced to be quiet their whole lives – no one's ready for what'll happen when they finally decide to speak up.
This series contains themes regarding grooming and abuse that may not be suitable for all readers. Viewer discretion is advised.
"
9227,If You So Desire My Despair,DRAMA,"Denka,konekoneko,Samoh","MONDAY,WEDNESDAY,FRIDAY",2,18200,0.0,101594,4133,ONGOING,"Orphaned at a young age and drowning in her father’s debt, Anastasia spends her days as a starving noble. That is, until her uncle offers her a way out by getting her engaged to his enemy, Duke Theodore Redford. Upon moving in with her fiancé, Anastasia has to endure all sorts of mistreatment from the cruel duke and his servants. But her lonely and depressing life takes a turn when she encounters a certain gentleman at a ball..."
9226,All Hail Lady Blanche!,ROMANCE,"SJK (SOYMEDIA),Eun Na-mok",TUESDAY,4,24088,0.0,117968,7964,ONGOING,"To Blanche, everything seemed hopeless. Until she realized it was all a game. One she made, to be exact. Now she has a goal: Become the villain's right-hand man! But wait. Why is she the one saving him...?
Blanche, who is timid and kind but is despised by her family, cannot overcome her family's contempt and attempts suicide.
After that, when I opened my eyes, this world was the game world I made!!
To survive in this world, I must have the villain Ricardo to my side. But Ricardo's condition is strange?!

"
9224,The Northern Duke Needs a Warm Hug,ROMANCE,NUGI,SUNDAY,3,26042,0.0,96489,6440,ONGOING,"When the talented imperial wizard Nisha makes an unconventional deal with King Frei, she goes on a mission to lift the curse of the Grand Duke of the North, Lanfel Delore! Turns out that the dark and handsome Duke Lanfel isn't as strong as he appears to be, and it seems like the freezing gray days of winter is a bit too much for the Duke's frail body. While Nisha does her research around the Duke's manor to lift his curse, she simultaneously becomes his caretaker. Little does she know that her deal with King Frei could bring her and Duke Lanfel together in more ways than one..."
9219,Your Ryan,ROMANCE,"BAEK SEOLHONG,Mongzzee,socheock",SUNDAY,8,167198,0.0,2342282,126567,ONGOING,"In the quiet village of Feltham, Eloise Surbiton leads a peaceful life far from the hubbub of the city, tending to geese and secretly fawning over dashing war hero Lt. Col. Ryan Wilgrave from afar. When her father mentions that a certain military man named Ryan will be moving to the nearby town of Cambourne, Eloise is thrilled — only to have her hopes dashed when she meets her new neighbor Ryan Thornton, a gruff soldier who is the opposite of the Ryan Wilgrave she knows. Little does she realize, there may be more to Ryan than meets the eye…"
9181,Wrecker Driver,ACTION,"TangoW,ODODOK",MONDAY,4,7054,0.0,29705,1857,ONGOING,"Welcome to the modern era, where someone’s life can be ruined over a malicious online rumor. Armies of trolls known as Cyber Wreckers gleefully tear apart every part of their victim’s existence for views, while Drivers stand ready IRL to steer the latest topic of online gossip to the Wrecker’s liking. When 17-year-old K-pop idol Ari Lee becomes the latest victim, it falls to her older brother Ajin to take revenge against those who drove her over the edge; a task that seems impossible until he meets a mysterious girl named Seol…"
9180,Beware of Double Trouble!,ROMANCE,chorong,TUESDAY,3,13800,0.0,372091,4414,ONGOING,"“There are plenty of fish in the sea,” or so they say. Easier said than done for Gahi Kim, whose crush is rising K-drama star Yubin Choi. Despite going to the same university as Yubin, Gahi can only daydream and grumble to her bestie and roommate Sara, as there’s never any sign of her crush on campus. But then, while having drinks at a nearby pub, Gahi meets a boy who’s the spitting image of Yubin. Seemingly more outgoing and down-to-earth compared to her idol, this look-alike is just the beginning of Gahi’s campus drama…"
9175,The Back Alley Mage's Second Life,FANTASY,"Kairos,Kim dakheu,Dohan",MONDAY,7,53327,0.0,387849,26459,ONGOING,"Once a loyal hound to a powerful magic family, Aster was used, betrayed, and killed. But death wasn’t the end—it was a second chance. Back in the back alleys of his youth, Aster now holds the future’s secrets in his hands. This time, he won’t serve anyone. Can a man who once served power learn to become his own master?
"
9174,The Luckiest Mage,FANTASY,"FLAGCAT STUDIO,Jeffon,KyuMelly",FRIDAY,4,32498,0.0,146979,8509,ONGOING,"Seo-joon used to be the unluckiest man in the universe, until one final disastrous twist of fate led to his death. Reincarnated as a Black Mage, he discovers a special ability called Ultimate Karma, turning him into the luckiest being in existence. Determined to find a way back to Earth and reunite with his mother, he embarks on an epic quest where he must face power struggles, lost loves, and shocking betrayals."
9140,The Max Magic Level Great Sage’s Return,ACTION,"Kaburagi Kazuki,Y’s",THURSDAY,8,53102,0.0,348503,17144,ONGOING,"In 1970, “The Great Sage,” Minato Ichikami, saved the world by destroying the invading “Demon God” and its forces. After this intense battle, Minato Ichikami died. After 50 years, he wakes up in a teenager’s body by the name of Minato Kusanagi! Now, the year is 2022, and our hero is inside a student’s body. What’s more, 50 years of peace has weakened magic severely. However, this peace doesn’t last. As demons start returning, Minato Ichikami, now Minato Kusanagi, vows to protect his new life and face his enemies. Witness the return of The Great Sage in this modern era!"
9139,Defense Breaker,ACTION,"J.SIN,e_no",TUESDAY,5,24297,0.0,133257,8708,ONGOING,"Jihun is pulled into Knight Defense, a game where he must lead the kingdom’s knights against endless waves of monsters. Weighed down by the scars of his real life, Jihun chooses not to fight and turns his back on humanity. But as soon as he does, the system unveils a new path: the Monster Faction.
Defense is over. It’s now time for offense."
9138,Undercover Wife,ROMANCE,"Yeon shi,Tasse,Bae Luna",THURSDAY,8,57838,0.0,482562,25355,ONGOING,"Beauty was her curse. What others envied and longed for only brought her misery. Scarred and weary, I-yeon decided to hide her crafted-by-god looks. 
In doing so, she gained a new identity, the ugly secretary, I-yeon Yu. She endured the mockery and lived quietly in the shadows until one day...
""Let's live together.""
Do-hyeon An, the only heir of the powerful Wooseung Group, suddenly proposed to her. 
No one can ever discover their contract marriage or her true identity. Under the same roof begins a thrilling and breathtaking romance of secrets and deception. "
